SchedulerType,DepartureID,ArrivalID,OutboundDate,ReturnDate,Adults,TravelClass,Stops,Currency,Language,Country,Day,Time
flights,GYN,GRU,2026-05-02,,1,1,0,BRL,pt,br,Saturday,08:00
wishlists,,,,,,,,,,,Saturday,17:00
